id_media valeur chant ligne position_ds_ligne
1127 Point 1 118 0
1128 ne 1 118 1
1129 fraye 1 118 2
1130 avec 1 118 3
1131 lui, 1 118 4
1132 qui 1 118 5
1133 de 1 118 6
1134 rouge 1 118 7
1135 s'habille 1 118 8
1136 ; 1 118 9
1137 — 1 119 0
1138 Quel 1 119 1
1139 satisfait 1 119 2
1140 vient 1 119 3
1141 d'en 1 119 4
1142 sortir, 1 119 5
1143 celui 1 119 6
1144 qui 1 119 7
1145 sent 1 119 8
1146 Une 1 120 0
1147 odeur 1 120 1
1148 connue 1 120 2
1149 au 1 120 3
1150 seuil 1 120 4
1151 du 1 120 5
1152 numéro 1 120 6
1153 cent 1 120 7
1154 ; 1 120 8
1155 — 1 121 0
1156 Le 1 121 1
1157 collignon 1 121 2
1158 à 1 121 3
1159 fouet 1 121 4
1160 rageur, 1 121 5
1161 à 1 121 6
1162 quelle 1 121 7
1163 cote 1 121 8
1164 Dans 1 122 0
1165 le 1 122 1
1166 Grand 1 122 2
1167 Prix, 1 122 3
1168 gagnante, 1 122 4
1169 on 1 122 5
1170 donnerait 1 122 6
1171 Cocote 1 122 7
1172 ; 1 122 8
1173 — 1 123 0
1174 Si 1 123 1
1175 monter 1 123 2
1176 pratique 1 123 3
